Address, Latitude, Longitude, Price, Price/Sqft
"830 soboda ct., houston (TX)",29.777633,-95.615017,325000,104.8725395
"5427 WINDHAM SPRINGS CT, Houston (TX)",29.847164,-95.590833,325000,116.6965889
"1403 Warwickshire Dr., Houston (TX)",29.754738,-95.588046,325000,112.9256428
"10051 WICKERSHAM LN, Houston (TX)",29.738197,-95.551329,325000,157.3088093
"7903 Highland Green Ct, Houston (TX)",29.974604,-95.550732,320500,85.97103004
"326 malone, houston (TX)",29.765713,-95.419065,319900,136.4761092
"3223 Pemberton Circle Dr, Houston (TX)",29.685784,-95.428307,318500,130.3191489
"12943 memorial dr, houston (TX)",29.772358,-95.565992,315000,143.1818182
"4911 cheena drive, houston (TX)",29.671855,-95.462415,315000,154.2605289
"1707 CEDAR CREEK CT, Houston (TX)",29.749069,-95.580053,310000,107.3779009
"10051 WICKERSHAM LN, Houston (TX)",29.738197,-95.551329,310000,150.0484027
"5415 SATTERFIELD LN, Houston (TX)",29.857316,-95.653074,309900,87.00168445
"3907 Shadow Trace Cir, Houston (TX)",29.715577,-95.598505,309000,103.8655462
"12303 seagrove ct, houston (TX)",29.848134,-95.5958,309000,118.8918815
"8207 CROSS SPRINGS CT, Houston (TX)",29.899453,-95.671187,300000,82.25939128
"13302 OLIVE TRAIL, Houston (TX)",29.75694,-95.623093,300000,95.26833916
"12301 shady downs dr, houston (TX)",29.719587,-95.600101,300000,89.0736342
"3522 SHADOW BLUFF CT, Houston (TX)",29.72306,-95.595964,300000,86.63008952
"411 W. 23rd St, HOUSTON (TX)",29.80721,-95.404211,300000,123.5584843
"116 6th st, houston (TX)",29.781224,-95.398405,300000,379.7468354
"16035 GRAFTONDALE CT, Houston (TX)",29.857734,-95.652588,299900,84.90939977
"1403 WARWICKSHIRE DR, Houston (TX)",29.754738,-95.588046,299000,103.8915914
"1526 big horn, houston (TX)",30.023189,-95.460595,299000,78.16993464
"1010 wynnwood ln, houston (TX)",29.794324,-95.416816,295000,215.3284672
