Address, Latitude, Longitude, Price, Price/Sqft
"1335 bissonnet, houston (TX)",29.725542,-95.396643,537000,154.6213648
"1727 sunset blvd, houston (TX)",29.722277,-95.402293,1299000,309.1385055
"1801 wroxton rd, houston (TX)",29.724572,-95.403616,896000,232.546068
"1817 wroxton rd, houston (TX)",29.724563,-95.40431,1595000,361.7600363
"1819 bissonnet, houston (TX)",29.72541,-95.404327,469000,286.4996946
"1928 dunstan rd, houston (TX)",29.721953,-95.406111,825000,428.3489097
"2001 sunset, houston (TX)",29.722726,-95.407101,2450000,320.3451883
"2018 quenby, houston (TX)",29.722324,-95.40755,1350000,353.0334728
"2109 bissonnet, houston (TX)",29.725349,-95.409201,495000,394.7368421
"2215 sunset, houston (TX)",29.722681,-95.411288,2199900,328.6375859
"2302 wroxton rd, houston (TX)",29.724935,-95.412953,730000,189.8075923
"2306 wroxton rd, houston (TX)",29.724934,-95.413107,599000,226.8939394
"2320 albans rd, houston (TX)",29.724084,-95.413568,875000,294.8113208
"2330 sunset, houston (TX)",29.72322,-95.414102,829000,248.501199
"2374 dunstan, houston (TX)",29.719555,-95.414781,999000,382.9053277
"2406 albans, houston (TX)",29.724116,-95.41534,950000,315.6146179
"2421 wroxton, houston (TX)",29.724428,-95.415816,1059000,283.5341365
"2604 talbott st, houston (TX)",29.709013,-95.418496,545000,226.0472833
"2621 centenary, houston (TX)",29.710163,-95.419305,1400000,332.1470937
"2621 university blvd., houston (TX)",29.714803,-95.419377,699000,342.6470588
"2625 werlein ave, houston (TX)",29.706844,-95.419402,975000,222.2982216
"2629 university, houston (TX)",29.714801,-95.419692,849000,249.632461
"2631 nottingham st, houston (TX)",29.72217,-95.419986,574900,216.2091012
"2632 robinhood st, houston (TX)",29.721293,-95.420514,1199000,274.8739111
"2706 arbuckle, houston (TX)",29.70981,-95.420531,949000,264.9357901
"2721 fenwood, houston (TX)",29.714027,-95.421201,2150000,406.8117313
"2811 nottingham, houston (TX)",29.722174,-95.422604,1399900,319.5389181
"2912 albans, houston (TX)",29.724105,-95.4239,1239000,309.2860709
"2914 cason, houston (TX)",29.707667,-95.423624,2199000,354.2774287
"2918 sunset blvd, houston (TX)",29.723362,-95.424118,1450000,353.6585366
"3002 albans, houston (TX)",29.724091,-95.42498,1499800,340.0907029
"3007 quenby, houston (TX)",29.721434,-95.425078,639900,255.6532161
"3027 plumb, houston (TX)",29.719224,-95.425827,684000,288.4858709
"3033 sunset blvd, houston (TX)",29.722877,-95.426231,1600000,385.3564547
"3107 amherst, houston (TX)",29.715638,-95.426413,1495000,325.708061
"3118 nottingham st, houston (TX)",29.722586,-95.426895,860000,283.9220865
"3123 nottingham, houston (TX)",29.72213,-95.427236,2299000,401.3617318
"3124 tangley, houston (TX)",29.720372,-95.427111,699900,278.4009547
"3127 jarrard, houston (TX)",29.716366,-95.427222,710000,375.6613757
"3304 sunset blvd., houston (TX)",29.723206,-95.429177,3299000,434.0789474
"3330 tangley, houston (TX)",29.720235,-95.429836,2000000,367.1745915
"3415 albans rd, houston (TX)",29.723609,-95.430641,2740000,311.7888029
"3512 albans, houston (TX)",29.724259,-95.431688,2199000,398.8030468
"3707 albans rd, houston (TX)",29.723466,-95.433858,1995000,399
"3723 westerman st, houston (TX)",29.727078,-95.434603,1395000,312.7802691
"3738 childress st, houston (TX)",29.727652,-95.435643,1000000,209.5996646
"3782 Childress, Houston (TX)",29.727495,-95.43778,499000,249.5
"3782 Childress, Houston (TX)",29.727495,-95.43778,499000,249.5
"3787 purdue st, houston (TX)",29.725159,-95.437691,1395000,271.8238504
"3803 Riley, Houston (TX)",29.708509,-95.437913,879000,224.2919112
"3805 villanova, houston (TX)",29.710626,-95.438102,950000,273.1454859
"3808 riley st, houston (TX)",29.708922,-95.438075,1099000,307.1548351
"3819 coleridge st, houston (TX)",29.71802,-95.438553,729000,263.748191
"3826 Westerman, Houston (TX)",29.726403,-95.439446,1650000,298.6425339
"3831 purdue st, houston (TX)",29.725576,-95.439608,1495000,293.0223442
"3902 tennyson, houston (TX)",29.717722,-95.439749,1299000,304.6435272
"3922 coleridge, houston (TX)",29.718474,-95.440583,1199000,295.6114398
"3924 childress st., houston (TX)",29.727014,-95.440845,354900,136.5
"3924 childress st., houston (TX)",29.727014,-95.440845,354900,136.5
"3935 rice blvd, houston (TX)",29.716551,-95.440993,449900,343.9602446
"4001 oberlin, houston (TX)",29.711304,-95.441279,725000,220.9018891
"4003 marlowe st, houston (TX)",29.718566,-95.44142,1390000,298.9890299
"4006 case st, houston (TX)",29.713162,-95.441459,1195000,318.4968017
"4010 marquette, houston (TX)",29.710315,-95.441528,1299000,289.9553571
"4021 coleridge st, houston (TX)",29.717828,-95.442325,749000,251.9340733
"4102 tennyson st, houston (TX)",29.717876,-95.443178,1125000,246.9271291
"4107 dartmouth, houston (TX)",29.722934,-95.443443,829000,244.1826215
"4111 riley st, houston (TX)",29.708205,-95.443289,821500,218.6003193
"4112 sunset blvd, houston (TX)",29.722656,-95.4436,675000,182.1862348
"4115 SWARTHMORE ST, Houston (TX)",29.713651,-95.443586,689900,299.9565217
"4119 childress st, houston (TX)",29.726515,-95.444161,489000,217.4299689
"4130 marlowe, houston (TX)",29.719398,-95.444556,730000,219.6149218
"4207 ruskin, houston (TX)",29.707338,-95.44549,1375000,288.0787765
"4215 byron, houston (TX)",29.71218,-95.445922,985000,281.5894797
"4222 swarthmore st, houston (TX)",29.714043,-95.446281,679000,277.1428571
"4222 Swarthmore, Houston (TX)",29.714043,-95.446281,679000,277.1428571
"4222 Swarthmore, Houston (TX)",29.714043,-95.446281,679000,277.1428571
"4230 amherst st, houston (TX)",29.71548,-95.446617,763000,257.9445571
"4238 childress, houston (TX)",29.726745,-95.446533,449000,199.0248227
"4259 law, houston (TX)",29.72431,-95.447013,849900,242.8285714
"5302 dora, houston (TX)",29.725547,-95.39635,899000,221.1562116
"5319 westchester ave, houston (TX)",29.724421,-95.429836,719000,230.1536492
"5334 Cherokee, Houston (TX)",29.723399,-95.401085,1438000,482.7123196
"5334 Cherokee, Houston (TX)",29.723399,-95.401085,1438000,482.7123196
